,name,protein,calcium,fat,carbohydrates,vitamins,sugar
0,apple pie,3.25,0.0,8.13,46.3,0.0,23.6
1,baby back ribs,18.8,0.026,9.82,0.0,0.0,0.0
2,baklava,6.6,0.041,29.0,37.8,0.0013,12.8
3,beef carpaccio,6.6,0.041,8.42,3.42,0.0019,12.8
4,beef tartare,17.4,0.028,15.6,0.34,0.0002,0.08
5,beet salad,1.32,0.018,5.29,11.0,0.4542,8.81
6,beignets,5.46,0.09,20.2,53.7,0.44210000000000005,31.1
7,bibimbap,5.51,0.025,2.92,8.18,0.4515,1.52
8,bread pudding,4.42,0.044,12.4,43.4,0.398,31.9
9,breakfast burrito,8.13,0.007,7.77,26.2,0.5342,1.41
10,bruschetta,4.29,0.05,7.61,21.3,0.5378999999999999,3.34
11,caesar salad,4.0,0.1,16.0,8.0,4.506,2.0
12,cannoli,6.32,0.021,14.7,42.1,0.0,39.0
13,caprese salad,5.76,0.079,10.5,9.42,0.0,4.71
14,carrot cake,3.7,0.0,33.3,59.3,0.0,55.6
15,ceviche,10.5,0.022,0.76,3.58,0.018600000000000002,1.34
16,cheese plate,6.46,0.146,11.5,15.6,0.2726,2.83
17,cheesecake,7.02,0.035,19.3,36.8,0.0,21.0
18,chicken curry,6.47,0.02,6.45,6.47,0.0086,2.6
19,chicken quesadilla,10.6,0.133,5.31,15.0,0.2661,0.88
20,chicken wings,18.6,0.0,18.6,0.0,0.0,0.0
21,chocolate cake,3.03,0.03,22.7,57.6,0.0,43.9
22,chocolate mousse,1.19,0.036,23.8,19.0,0.0007,13.1
23,churros,6.05,0.11,22.2,48.9,0.0012,23.4
24,clam chowder,3.67,0.041,8.57,6.53,0.4117,1.63
25,club sandwich,14.0,0.171,12.3,20.2,0.7741,1.71
26,crab cakes,14.2,0.111,16.8,7.08,0.7741,0.88
27,creme brulee,4.06,0.115,2.83,17.8,0.771,17.9
28,croque madame,15.0,0.0,7.5,70.0,0.0,17.9
29,cup cakes,2.22,0.222,13.3,60.0,0.0,44.4
30,deviled eggs,10.7,0.0,25.0,0.0,0.714,0.0
31,donuts,3.51,0.175,17.5,61.4,0.0,42.1
32,dumplings,9.21,0.026,1.97,23.7,0.2693,1.32
33,edamame,11.8,0.059,4.71,7.06,0.2693,2.35
34,eggs benedict,13.8,0.058,22.1,8.48,0.26439999999999997,1.17
35,escargots,20.0,0.013,6.91,2.48,0.263,0.0
36,falafel,8.28,0.086,41.2,29.0,0.2703,4.52
37,filet mignon,15.2,0.0,15.2,0.0,0.089,0.0
38,fish and_chips,11.0,0.016,16.2,21.7,0.018,1.65
